Plant ID,Common Name,Scientific Name,Medicinal Uses,Plant Family,Region,Parts Used,Preparation Methods,Chemical Constituents,Precautions/Side effects,Image URL
28,Shankhpushpi,Clerodendrum serratum,"Improves memory,reduces anxiety,treats epilepsy",Lamiaceae,Pan-India,Leaves,"Powder,Decoction","Saponins,Flavonoid",None known,https://mybageecha.com/cdn/shop/files/ClitoriaTernatea-Aparajita.jpg?v=1684834920
29,Manjistha,Rubia cordifolia,"Detoxifies,improves skin health,reduces inflammation",Rubiaceae,Pan-India,Root,"Powder,paste","Munjistin,Rubian",None known,https://iafaforallergy.com/wp-content/uploads/2023/11/Manjistha-Rubia-cordifolia-1.jpg
30,Kadamba,Neolamarckia cadamba,"Treats fever,pain relef,reduces inflammation",Rubiaceae,Eastern India,"Bark,Flowers","Powder,Decoction","Alkaloids,Triterpenoids",None known,"https://m.media-amazon.com/images/I/61wxtx2VX7L._AC_UF1000,1000_QL80_.jpg"
31,Cumin,Cuminum cyminum,"Improves digestion,carminative,anti-inflammatory",Apiaceae,Pan-India,Seeds,"Powder,Tea","Cuminaldehyde,Terpenes",None known,https://www.marthastewart.com/thmb/wnrXveG3ngwflQqiWBCLVjT-_vQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ms-grow-cumin-getty-e19e11e455b943eb8bcca094de697b4d.jpg
32,Mint,Mentha piperita,"Relieves indigestion,bloating,and IBS;alleviates headaches and respiratory issues;antibacterial andantiviral properties",Lamiaceae,"Native to Europe and Asia,Cultivated worldwide",Leaves,"Tea,Oil","Menthol, menthone, menthyl acetate, rosmarinic acid, flavonoids, tannins",Can cause GI upset in excess; skin irritation; avoid in children under 2; may worsen acid reflux.,"https://m.media-amazon.com/images/I/61oeRRr9q+L._AC_UF1000,1000_QL80_.jpg"
33,Ginseng,Withania  somnifera,"Improves energy and stamina,supportsimmunity,reduces stress and enhance mental performance",Solanaceae,"Native to Korea,China and NorthAmerica",Roots,"Tea,Capsules,powders","Ginsenosides, polysaccharides, peptides, flavonoids","May cause insomnia, headaches, or nervousness; interacts with blood thinners and diabetic medications; avoid in pregnancy or breastfeeding unless advised by a doctor.","https://m.media-amazon.com/images/I/81IoXyrQ3VL._AC_UF1000,1000_QL80_.jpg"
34,Indian Pennywort,Centella Asiatica,"Improves memory,cognition and mental clarity,promotes wounds healing;support skin health,reduce anxiety and stress,anti-inflammable& antioxidant",Apiaceae,"Native to India,southeast Asia and part of Africa",Leaves,"Teas,Capsules,Oil","Asiaticoside, madecassoside, asiatic acid, brahmic acid, flavonoids, saponins",Generally considered safe but may cause mild digestive upset or allergic reactions in some people; excessive use may lead to drowsiness or dizziness; avoid in pregnant women or consult a doctor before use.,"https://m.media-amazon.com/images/I/61jjcToVI3L._AC_UF1000,1000_QL80_.jpg"
35,Bael,Aegle marmelos,"Treats diarrhea,dysentry and constipation,anti-inflammatory,animicrobial,antidiabetic, boosts immunity,liver detox",Rutaceae,Native to India and Southeast Asia,Fruits and leaves,"powder,juice,tea","Tannins, alkaloids, flavonoids, glycosides, essential oils",Can cause digestive upset or constipation in large amounts; may interact with blood sugar medications; consult doctor if pregnant.,https://previews.123rf.com/images/tharathiponsri/tharathiponsri1803/tharathiponsri180301095/97151063-bael-fruit-tree-the-fruit-has-medicinal-value-for-digestive-system.jpg
36,Fennel,Foeniculum vulgare,"Relieves indigestion,bloating,gas;promotes mil production in breasfeeding women ",Apiaceae,"Native to Mediterranean,cultivated worldwide",Seeds,"Teas,oils,cooking spices","Anethole, fenchone, estragole, limonene, flavonoids, coumarins",Can cause allergic reactions; excessive use may lead to diarrhea or discomfort; avoid in children under 2; caution in pregnancy due to hormonal effects.,https://mtseedbank.in/wp-content/uploads/2023/06/florence_fennel_flowers.jpeg
37,Chili Pepper,Capsicm annuum,"Pain relief,boosts metabolism,aids in weight loss,support heart health",Solanaceae,"Native to the Americas,groen worldwide",,"Powder,Creams","Capsaicin, carotenoids, flavonoids, vitamins C and A","Can irritate the GI tract (heartburn, discomfort); topical capsaicin may cause skin irritation; excessive consumption may cause sweating, nausea, or dizziness; not for ulcers.",https://cdn.britannica.com/62/118162-050-56CC9480/cultivar-Thai-chili-peppers-fruits.jpg
38,Cardamom,Elettaria cardamomum,"Relives digestive issues,support respiratory health,mood enhancing",Zingiberaceae,Native to India and Sri Lanka,Seeds,"Seeds used in baking,cooking and teas;oil for aromatherapy or massage","Cineole, terpinyl acetate, limonene, alpha-pinene, flavonoids","May cause allergic reactions, GI issues in excess, skin irritation topically, caution for gallstone sufferers due to bile stimulation.",https://images.meesho.com/images/products/436065265/4qikh_512.webp
39,Black Cohosh,Cimicifuga racemosa,"Used for menopausal symptoms, hormonal imbalances, and to relieve hot flashes.",Ranunculaceae,North America,Root,"Tinctures, capsules, teas","Triterpene glycosides, Isoflavonoids","May cause liver damage in excessive doses, gastrointestinal upset.",https://cdn11.bigcommerce.com/s-a9b4a/images/stencil/1280x1280/products/2560/6830/Black-Cohosh__66589.1667332663.jpg?c=2
40,Elderberry,Sambucus nigra,"Used to treat flu, colds, and to boost immune function.",Adoxaceae,"Europe, North America","Berries, Flowers","Syrups, extracts, teas","Flavonoids, Phenolic acids, Tannins",Raw berries can be toxic; avoid large doses.,https://upload.wikimedia.org/wikipedia/commons/a/a9/Sambucus-berries.jpg
41,Hawthorn,Crataegus monogyna,"Used for heart conditions, high blood pressure, and improving circulation.",Rosaceae,"Europe, North America","Berries, Leaves","Teas, extracts, capsules","Flavonoids, Procyanidins, Tannins","Can interact with heart medications, monitor blood pressure.",https://images-prod.healthline.com/hlcmsresource/images/AN_images/hawthorn-berry-benefits-1296x728-feature.jpg
42,Licorice Root,Glycyrrhiza glabra,"Used for sore throats, digestive issues, and as an anti-inflammatory.",Fabaceae,"Europe, Asia",Root,"Teas, extracts, lozenges","Glycyrrhizin, Flavonoids, Saponins","High doses may lead to hypertension, potassium depletion.",https://plantura.garden/uk/wp-content/uploads/sites/2/2021/09/liquorice.jpg
43,Red Clover,Trifolium pratense,"Used for menopausal symptoms, high cholesterol, and as a blood purifier.",Fabaceae,"Europe, North America",Flowers,"Teas, capsules, extracts","Isoflavones, Flavonoids, Coumestrol","Can interact with blood thinners, mild allergic reactions.",https://cdn.shopify.com/s/files/1/0506/7037/0997/articles/HerbalLibrary_Hero_RedClover_1400x1400_22800c41-b89a-412d-bd70-1583bef8a584.jpg?v=1668814060
44,Peppermint,Mentha × piperita,"Used for digestive issues like bloating, indigestion, and as a muscle relaxant.",Lamiaceae,"Europe, North America",Leaves,"Teas, oils, tinctures","Menthol, Menthone, Rosmarinic acid",High doses may cause heartburn or irritation.,https://images.meesho.com/images/products/261846003/gp2rx_512.webp
45,Sage,Salvia officinalis,"Used for digestive health, memory enhancement, and as an antimicrobial.",Lamiaceae,"Mediterranean, Europe",Leaves,"Teas, oils, tinctures","Thujone, Flavonoids, Rosmarinic acid",Avoid excessive use in pregnant women.,https://i.herbalreality.com/wp-content/uploads/2022/08/21123753/Salvia-miltiorrhiza-red-sage-full-plant-flowers.jpg
46,St. John's Wort,Hypericum perforatum,"Used to treat mild depression, anxiety, and wounds.",Hypericaceae,"Europe, North America","Flowers, Leaves","Teas, extracts, oils","Hypericin, Hyperforin, Flavonoids",Can interact with medications like antidepressants and birth control.,https://www.verywellhealth.com/thmb/70hzKmDxPrGr_uAEOwej6rehC94=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-157187054-4977a44e7f444cb49afb0774e858ba01.jpg
47,Echinacea,Echinacea purpurea,Used to boost immune function and reduce the severity of cold and flu symptoms.,Asteraceae,"North America, Europe","Root, Flower","Teas, capsules, tinctures","Alkamides, Cichoric acid, Polysaccharides","May cause allergic reactions, especially in those allergic to ragweed.",https://www.verywellhealth.com/thmb/ldxNJ7hJ6fYzoQPWEezLCLvnsGg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/VWH-GettyImages-1333424994-2fe4941bcfbb487dbb2266f5923eafce.jpg
48,Burdock,Arctium lappa,"Used for detoxification, skin issues like acne, and as a diuretic.",Asteraceae,"Europe, Asia",Root,"Teas, extracts, capsules","Inulin, Arctiin, Flavonoids","May cause allergic reactions, mild gastrointestinal issues.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRv4uqxRPb8q6sQV_wNHCaCBpj0daYx6jHMg&s
49,Chamomile,Matricaria chamomilla,"Used for its calming effects, digestive support, and anti-inflammatory properties.",Asteraceae,"Europe, North America",Flowers,"Teas, oils, extracts","Chamazulene, Apigenin, Bisabolol",Can cause allergic reactions in those allergic to ragweed.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLzDV9tWd_288IsV17nM9NS90zrYaenIfqYA&s
50,Lavender,Lavandula angustifolia,"Used for stress relief, insomnia, and anxiety.",Lamiaceae,"Europe, Mediterranean",Flowers,"Oils, teas, extracts","Linalool, Linalyl acetate",May cause skin irritation in some people.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtg8QPKoLXMYFVfr1QfqkxaQ0Iba2LSZZNRQ&s
51,Marigold,Calendula officinalis,"Used for wound healing, skin infections, and inflammation.",Asteraceae,"Europe, North America",Flowers,"Creams, teas, oils","Carotenoids, Flavonoids, Saponins",Can cause allergic reactions in sensitive individuals.,"https://m.media-amazon.com/images/I/51IE0q6PxgL._AC_UF1000,1000_QL80_.jpg"
52,Milk Thistle,Silybum marianum,"Used for liver detoxification, hepatitis, and improving liver function.",Asteraceae,"Europe, North America",Seed,"Capsules, extracts, teas","Silymarin, Flavonoids",May cause gastrointestinal upset in some people.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRKvgEFAOHMAL6VOqN749tszTK0M6tLnLYjOg&s
53,Cranberry,Vaccinium macrocarpon,Used for urinary tract infections and as a rich source of antioxidants.,Ericaceae,"North America, Europe",Berries,"Juices, extracts, capsules","Proanthocyanidins, Vitamin C, Organic acids",Can interact with blood thinners like warfarin.,https://i0.wp.com/tripplebrookfarm.com/wp-content/uploads/2020/11/3863421023_61486d1d44_o-scaled-jpg.webp?fit=1702%2C2560&ssl=1
54,Dandelion,Taraxacum officinale,"Used for liver detox, kidney health, and as a diuretic.",Asteraceae,"Europe, North America","Root, Leaves","Teas, extracts, capsules","Taraxacin, Inulin, Triterpenes",Can cause allergic reactions in some people.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcO-5mgf8Md3gTFgNzsiXcClaGslbNJjSb6w&s
55,Yarrow,Achillea millefolium,"Used for wound healing, menstrual cramps, and digestive issues.",Asteraceae,"Europe, North America","Leaves, Flowers","Teas, extracts, poultices","Flavonoids, Alkaloids, Essential oils",May cause allergic reactions or skin irritation.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqz0zxuVChr2cuiFxK5Up5DA2YiUyFrR3r5Q&s
56,Slippery Elm,Ulmus rubra,"Used for sore throats, digestive issues, and as an anti-inflammatory.",Ulmaceae,North America,Bark,"Teas, lozenges, poultices","Mucilage, Tannins","Generally safe, but large doses may cause digestive upset.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhbLKM4jOPEkaBDv39OhHakQp6mTE21inylg&s
57,Senna,Senna alexandrina,Used as a natural laxative for constipation relief.,Fabaceae,"Africa, Asia","Leaves, Pods","Teas, extracts, capsules","Sennosides, Anthraquinones",Excessive use can cause dehydration and electrolyte imbalance.,https://rukminim2.flixcart.com/image/850/1000/jzn0tjk0/plant-seed/n/5/z/25-hs155-shop-360-garden-original-imafjhgmhgchyyjf.jpeg?q=90&crop=false
58,Acacia,Acacia arabica,"Used for mouth ulcers, sore throat, and as an anti-inflammatory.",Fabaceae,All over India,"Gum, Bark","Decoction, Paste","Tannins, Alkaloids",Overuse can cause stomach issues.,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Acacia_greggii_thorns.jpg/1200px-Acacia_greggii_thorns.jpg
59,Marigold,Tagetes erecta,"Used for wound healing, skin infections, and as an anti-inflammatory.",Asteraceae,All over India,Flowers,"Creams, Teas","Carotenoids, Flavonoids",May cause allergic reactions in sensitive individuals.,"https://m.media-amazon.com/images/I/51hPWA0XS7S._AC_UF1000,1000_QL80_.jpg"
60,Arjuna,Terminalia arjuna,"Used for heart health, reducing cholesterol, and managing blood pressure.",Combretaceae,"India, especially in South",Bark,"Powder, Decoction, Capsules","Tannins, Flavonoids",May lower blood pressure; use with caution.,https://growbilliontrees.com/cdn/shop/articles/arjuna-tree-grow-billion-trees.jpg?v=1712737730
61,Curry Leaf,Murraya koenigii,"Used for diabetes, digestive health, and skin disorders.",Rutaceae,All over India,Leaves,"Powder, Paste, Decoction","Alkaloids, Flavonoids",May cause gastrointestinal discomfort in high doses.,https://rukminim2.flixcart.com/image/850/1000/kge0n0w0/plant-sapling/t/5/g/curry-leaf-plant-hybrid-pack-of-1-1-biotech-gardening-original-imafwn64xjqh2qp5.jpeg?q=90&crop=false
62,Bittermelon,Momordica charantia,"Used for diabetes, digestive issues, and as an anti-inflammatory.",Cucurbitaceae,All over India,Fruit,"Juice, Capsules, Decoction","Charantin, Momordicin, Alkaloids",May lower blood sugar drastically.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSX5aHWXJR9zA4t0S6EOIjdLUJ_WwH5E3_ZgA&s
63,Coriander,Coriandrum sativum,"Used for digestive issues, detoxification, and as an antioxidant.",Apiaceae,All over India,"Leaves, Seeds","Powder, Teas, Oil","Linalool, Terpenes",High doses can cause digestive upset.,https://cdn-prod.medicalnewstoday.com/content/images/articles/277/277627/bunch-of-fresh-coriander-or-cilantro-on-a-wooden-table.jpg
64,Pomegranate,Punica granatum,"Used for heart health, digestion, and as an anti-inflammatory.",Lythraceae,All over India,"Fruit, Seeds","Juice, Powder, Extracts","Punicalagins, Ellagic acid",May cause allergic reactions in some individuals.,https://www.apnikheti.com/upload/crops/131idea99pomegrarnate.jpg
65,Mustard,Brassica nigra,"Used for respiratory issues, muscle pain, and improving circulation.",Brassicaceae,All over India,Seeds,"Oil, Powder, Paste","Glucosinolate, Sinigrin",May cause skin irritation in some individuals.,https://rukminim2.flixcart.com/image/850/1000/jod7rm80/plant-seed/z/g/m/60-hybrid-live-green-original-imafaufpjkexqezv.jpeg?q=90&crop=false
