Plant ID,Disease/Symptomes,Herbal plant,Preparation method,Dosage,Possible Reactions,Image URL
43,"Menstrual issues, Hormonal balance",Red Clover (Trifolium pratense),Tea from flowers or capsules,1-2 cups of tea or 200 mg capsules,"May cause blood thinning, allergic reactions",https://example.com/menstrual-redclover.jpg
44,"Digestive health, Immune support",Peppermint (Mentha piperita),Tea from leaves or chew fresh leaves,1-2 cups per day,May cause heartburn or allergic reactions in sensitive individuals,https://example.com/digest-peppermint.jpg
45,"Memory, Mental clarity",Sage (Salvia officinalis),Tea from dried leaves or fresh leaves,1-2 cups per day,May cause nausea or dizziness at high doses,https://example.com/memory-sage.jpg
46,"Depression, Anxiety, Mood disorders",St. John's Wort (Hypericum perforatum),"Capsules, tablets, or tea",300 mg-1g daily,"May cause photosensitivity, dry mouth, or digestive upset",https://example.com/depression-stjohnswort.jpg
47,"Immune support, Cold, Flu",Echinacea (Echinacea purpurea),Tea from flowers or capsules,300 mg daily,"Allergic reactions, especially in those allergic to daisies",https://example.com/immune-echinacea.jpg
48,"Liver detox, Skin issues",Burdock (Arctium lappa),Root decoction or capsules,500 mg daily,May cause mild gastrointestinal discomfort,https://example.com/liver-burdock.jpg
49,"Relaxation, Sleep, Digestive health",Chamomile (Matricaria chamomilla),Tea from dried flowers,1-2 cups per day,May cause allergic reactions or drowsiness,https://example.com/relaxation-chamomile.jpg
50,"Anxiety, Insomnia, Skin irritation",Lavender (Lavandula angustifolia),Essential oil for aromatherapy or tea,2-3 drops of essential oil or 1-2 cups of tea,"Mild drowsiness, skin irritation, or headaches if overused",https://example.com/anxiety-lavender.jpg
51,"Skin health, Wound healing, Antioxidant",Marigold (Calendula officinalis),Fresh petals or as a cream,Apply cream or tincture topically,Skin irritation in sensitive individuals,https://example.com/skin-marigold.jpg
52,"Liver detox, Antioxidant, Skin health",Milk Thistle (Silybum marianum),Capsules or tea,200-400 mg daily,Stomach upset or diarrhea,https://example.com/liver-milkthistle.jpg
53,"Urinary tract infections, Antioxidant",Cranberry (Vaccinium macrocarpon),Juice or capsules,1-2 cups of juice daily,May cause stomach upset or kidney stones if taken excessively,https://example.com/urinary-cranberry.jpg
54,"Liver detox, Digestion",Dandelion (Taraxacum officinale),Tea from roots or leaves,1-2 cups of tea daily,May cause diarrhea or allergic reactions in some individuals,https://example.com/digest-dandelion.jpg
55,"Digestive health, Wounds, Inflammation",Yarrow (Achillea millefolium),Tea or topical application,1-2 cups per day,Skin irritation or mild allergic reactions,https://example.com/digest-yarrow.jpg
56,"Digestive issues, Constipation",Slippery Elm (Ulmus rubra),Powder in water or as lozenges,1-2 tsp powder daily,May cause nausea if consumed in excess,https://example.com/digest-slipperyelm.jpg
57,"Constipation, Laxative",Senna (Senna alexandrina),Tea or tablets from dried leaves,1-2 tablets at bedtime,"Diarrhea, abdominal cramps, or dehydration",https://example.com/constipation-senna.jpg
58,"Digestive health, Inflammation",Acacia (Acacia senegal),Powder mixed with water or as capsules,1-2 tsp per day,Mild digestive upset,https://example.com/digest-acacia.jpg
59,"Skin health, Antioxidant, Wound healing",Marigold (Calendula officinalis),Fresh petals or as a cream,Apply cream or tincture topically,Skin irritation or allergic reactions in sensitive individuals,https://example.com/skin-marigold.jpg
60,"Cardiovascular health, Blood pressure",Arjuna (Terminalia arjuna),Powder or as capsules,500 mg to 1g daily,"Stomach upset, dizziness, or allergic reactions",https://example.com/cardiovascular-arjuna.jpg
61,"Digestion, Blood sugar management",Curry Leaf (Murraya koenigii),Fresh leaves in food or tea,1-2 tsp leaves daily,Mild stomach upset or allergic reaction,https://example.com/digest-curryleaf.jpg
62,"Blood sugar regulation, Digestion",Bittermelon (Momordica charantia),"Fresh juice, capsules, or tea",1 cup juice daily or 500 mg capsules,"Low blood sugar, diarrhea, or abdominal pain",https://example.com/digest-bittermelon.jpg
63,"Digestive health, Gas",Coriander (Coriandrum sativum),Fresh leaves or seeds in food or tea,1-2 tsp daily,May cause digestive upset or allergic reactions,https://example.com/digest-coriander.jpg
64,"Antioxidant, Digestive health",Pomegranate (Punica granatum),Juice or fresh seeds,1-2 cups of juice daily,Stomach upset or allergic reactions,https://example.com/digest-pomegranate.jpg
65,"Digestive health, Inflammation",Mustard (Brassica juncea),Seeds in food or as a topical paste,1-2 tsp seeds daily,Stomach irritation or allergic reactions,https://example.com/digest-mustard.jpg
